0,1,2,3,4,5,6,7,8,9
"('Dalc <= 1.00', 0.2308385386614116)","('studytime > 2.00', 0.09886729961937767)","('4.00 < famrel <= 5.00', -0.07863232966330956)","('G2 <= 10.00', -0.07458113944383984)","('4.00 < health <= 5.00', -0.06991947063794442)","('romantic <= 0.00', -0.06476808444755935)","('famsup <= 0.00', -0.06062134240210561)","('Medu <= 2.00', 0.05732537560511328)","('age <= 16.00', -0.054282058363810705)","('activities <= 0.00', 0.04974647888275169)"
"('studytime > 2.00', 0.11074115678384608)","('1.00 < Dalc <= 2.00', -0.1044821813900443)","('4.00 < health <= 5.00', -0.07897288107731233)","('age <= 16.00', -0.07387665164030348)","('famrel <= 4.00', 0.07364554758899494)","('Medu <= 2.00', 0.06800739710615519)","('failures <= 0.00', 0.05049634338927886)","('0.00 < famsup <= 1.00', 0.050455647187381505)","('romantic <= 0.00', -0.046353177444992906)","('0.00 < school <= 1.00', 0.0434874395721897)"
"('Walc > 3.00', -0.3654576849288517)","('1.00 < Dalc <= 2.00', -0.11124280727711046)","('health <= 2.00', 0.09832573791674684)","('famrel <= 4.00', 0.08279388619814354)","('Mjob <= 1.00', 0.07726967329004733)","('2.00 < Medu <= 4.00', -0.07354974568015404)","('0.00 < famsup <= 1.00', 0.06179810258650875)","('age <= 16.00', -0.05766015578062515)","('0.00 < activities <= 1.00', -0.0489841412449216)","('romantic <= 0.00', -0.04839532116918514)"
"('Dalc > 2.00', -0.26439196562944145)","('2.00 < Walc <= 3.00', -0.1545321281827055)","('Mjob > 3.00', -0.0859658083960788)","('0.00 < famsup <= 1.00', 0.07155283940723592)","('4.00 < health <= 5.00', -0.07149831979917007)","('famrel <= 4.00', 0.06858606507568758)","('2.00 < Medu <= 4.00', -0.0657666580937526)","('romantic <= 0.00', -0.06311774315526866)","('failures <= 0.00', 0.05449335264107373)","('activities <= 0.00', 0.054455034137403595)"
"('1.00 < Dalc <= 2.00', -0.12222904904249467)","('studytime > 2.00', 0.10162381936299725)","('famrel <= 4.00', 0.09274004192865606)","('G2 <= 10.00', -0.08423464673990651)","('2.00 < Medu <= 4.00', -0.06190482721411997)","('freetime <= 3.00', 0.060940884032698046)","('0.00 < famsup <= 1.00', 0.057629680398229764)","('failures <= 0.00', 0.055996153237873235)","('romantic <= 0.00', -0.05471272846689952)","('activities <= 0.00', 0.04614994701698169)"
"('2.00 < Walc <= 3.00', -0.17075214661345522)","('studytime > 2.00', 0.11811754283869201)","('1.00 < Dalc <= 2.00', -0.11147232272527031)","('famrel <= 4.00', 0.08410114071442787)","('age <= 16.00', -0.07385338334937652)","('G2 > 13.00', 0.07285958377026706)","('0.00 < famsup <= 1.00', 0.06892461517946183)","('2.00 < Medu <= 4.00', -0.0622927263953127)","('activities <= 0.00', 0.05938993122297194)","('romantic <= 0.00', -0.05661585191468341)"
"('Dalc <= 1.00', 0.23422896858912962)","('Mjob > 3.00', -0.10318983571108645)","('famrel <= 4.00', 0.08237873746971258)","('G2 > 13.00', 0.07841937491762242)","('health <= 2.00', 0.07660746119515263)","('2.00 < Medu <= 4.00', -0.07203703468222164)","('0.00 < famsup <= 1.00', 0.06581849281747217)","('freetime <= 3.00', 0.06568771941655717)","('romantic <= 0.00', -0.06288953891408407)","('age <= 16.00', -0.0621035672706916)"
"('Dalc <= 1.00', 0.23083065790453805)","('2.00 < Walc <= 3.00', -0.16670151052377055)","('studytime <= 1.00', -0.12785579022847665)","('G2 > 13.00', 0.09021613256163859)","('famrel <= 4.00', 0.08695894727616363)","('Mjob <= 1.00', 0.0866996170796669)","('4.00 < health <= 5.00', -0.08177031570503823)","('0.00 < famsup <= 1.00', 0.06490041892709368)","('2.00 < Medu <= 4.00', -0.063235773777811)","('activities <= 0.00', 0.056830025349859155)"
"('Walc > 3.00', -0.36406408369397064)","('studytime > 2.00', 0.12195280011117642)","('1.00 < Dalc <= 2.00', -0.1113202216841796)","('Mjob > 3.00', -0.08529270651616476)","('famrel <= 4.00', 0.07544278470686248)","('2.00 < Medu <= 4.00', -0.06478297164088653)","('age <= 16.00', -0.06082023990900378)","('0.00 < famsup <= 1.00', 0.05996036977330153)","('0.00 < activities <= 1.00', -0.054119051152672)","('romantic <= 0.00', -0.04799815870373048)"
"('2.00 < Walc <= 3.00', -0.16811029233982563)","('1.00 < Dalc <= 2.00', -0.12371908739933207)","('Mjob <= 1.00', 0.10196714164810058)","('health <= 2.00', 0.08447519132672798)","('age > 18.00', 0.07360069245788192)","('famrel <= 4.00', 0.07359882827270313)","('0.00 < famsup <= 1.00', 0.06463926102162468)","('1.00 < studytime <= 2.00', 0.0568554208773805)","('freetime <= 3.00', 0.05513043017296634)","('2.00 < Medu <= 4.00', -0.05478487810175543)"
