0,1,2,3,4,5,6,7,8,9
"('Walc <= 1.00', 0.36560045923600176)","('Dalc <= 1.00', 0.22019511444683112)","('studytime <= 1.00', -0.1351172094162823)","('Mjob <= 1.00', 0.0940153748189443)","('4.00 < famrel <= 5.00', -0.07438103598096145)","('G2 <= 10.00', -0.07238026081515422)","('freetime > 4.00', -0.06883323097047173)","('Medu <= 2.00', 0.06705743128372706)","('0.00 < famsup <= 1.00', 0.06669086317055212)","('traveltime > 2.00', -0.048297286898793146)"
"('Walc > 3.00', -0.3613694070868502)","('Dalc > 2.00', -0.2791228002963293)","('Mjob <= 1.00', 0.09388322739483895)","('4.00 < famrel <= 5.00', -0.08150799714914846)","('4.00 < health <= 5.00', -0.0719945650930563)","('age <= 16.00', -0.0687120580581677)","('2.00 < Medu <= 4.00', -0.06834874943738543)","('0.00 < famsup <= 1.00', 0.06766587907201699)","('activities <= 0.00', 0.05501349689816575)","('goout <= 2.00', -0.05486598470239119)"
"('Walc <= 1.00', 0.3706532835842842)","('Dalc <= 1.00', 0.2221010085294235)","('studytime > 2.00', 0.10372641469485577)","('Mjob <= 1.00', 0.08937186764491997)","('4.00 < famrel <= 5.00', -0.0851905771654154)","('G2 > 13.00', 0.07459955412012398)","('0.00 < famsup <= 1.00', 0.06746322182176741)","('Medu <= 2.00', 0.06385290610795949)","('romantic <= 0.00', -0.05970734099630492)","('freetime <= 3.00', 0.05149913905028511)"
"('Walc > 3.00', -0.3628405284414308)","('studytime <= 1.00', -0.13293013869446654)","('1.00 < Dalc <= 2.00', -0.11572498035040216)","('famsup <= 0.00', -0.0798826836888689)","('famrel <= 4.00', 0.07289219433595658)","('G2 <= 10.00', -0.06998911197147338)","('4.00 < health <= 5.00', -0.06912982345220282)","('age <= 16.00', -0.06632357747358451)","('Medu <= 2.00', 0.0582940255632743)","('romantic <= 0.00', -0.05780245753852142)"
"('Walc <= 1.00', 0.3710027169431166)","('Dalc <= 1.00', 0.22350736366404172)","('studytime > 2.00', 0.10935802850066108)","('famrel <= 4.00', 0.08412835892104721)","('4.00 < health <= 5.00', -0.07744600333659907)","('age <= 16.00', -0.0638024985875304)","('Medu <= 2.00', 0.06308762880037468)","('famsup <= 0.00', -0.06258105851357713)","('romantic <= 0.00', -0.052159668030782064)","('failures <= 0.00', 0.04786664230015163)"
"('1.00 < Dalc <= 2.00', -0.13582430461270661)","('4.00 < health <= 5.00', -0.08133850090911646)","('Medu <= 2.00', 0.06996467148638992)","('famsup <= 0.00', -0.06968731617466144)","('age <= 16.00', -0.06799890729982516)","('famrel <= 4.00', 0.06401262569589715)","('0.00 < famsize <= 1.00', -0.0498539873879418)","('romantic <= 0.00', -0.04891566794583119)","('0.00 < activities <= 1.00', -0.04851501211731018)","('freetime <= 3.00', 0.04580210521669723)"
"('Walc <= 1.00', 0.3717253363650873)","('Dalc <= 1.00', 0.21870821254089048)","('studytime <= 1.00', -0.12322372952721479)","('famrel <= 4.00', 0.08409477590970744)","('health <= 2.00', 0.0793601275529627)","('G2 <= 10.00', -0.07250737038083559)","('0.00 < famsup <= 1.00', 0.06900759222557253)","('Medu <= 2.00', 0.06370244272501195)","('activities <= 0.00', 0.05264655506870317)","('freetime <= 3.00', 0.05169746060267766)"
"('Walc <= 1.00', 0.37989313579147854)","('Dalc <= 1.00', 0.22909396100203694)","('studytime <= 1.00', -0.13397667068815497)","('famrel <= 4.00', 0.07969876459032062)","('G2 <= 10.00', -0.0711413238751331)","('0.00 < famsup <= 1.00', 0.06950927133818617)","('Medu <= 2.00', 0.06703799535381005)","('freetime > 4.00', -0.06234133440901311)","('goout <= 2.00', -0.06224879363194093)","('0.00 < activities <= 1.00', -0.056511318448879716)"
"('Walc <= 1.00', 0.37566912883157494)","('Dalc <= 1.00', 0.22603773974604127)","('Mjob <= 1.00', 0.08405369471345836)","('4.00 < famrel <= 5.00', -0.07738864175307025)","('4.00 < health <= 5.00', -0.07575938862264299)","('0.00 < famsup <= 1.00', 0.06585895014931765)","('age <= 16.00', -0.06563063561124786)","('2.00 < Medu <= 4.00', -0.06379369865195766)","('freetime <= 3.00', 0.059148934492492033)","('romantic <= 0.00', -0.05378089062603326)"
"('Walc <= 1.00', 0.36808094987950196)","('Dalc <= 1.00', 0.22477753847397838)","('studytime > 2.00', 0.1109127690088436)","('famrel <= 4.00', 0.08405361370799212)","('G2 > 13.00', 0.07735929357478633)","('age <= 16.00', -0.06648477957576662)","('2.00 < Medu <= 4.00', -0.06502262027551427)","('0.00 < famsup <= 1.00', 0.06297369244529638)","('0.00 < romantic <= 1.00', 0.05337191342189148)","('0.00 < activities <= 1.00', -0.05097673615145656)"
"('1.00 < Dalc <= 2.00', -0.14191131263475223)","('health <= 2.00', 0.08355627413974526)","('famrel <= 4.00', 0.07853941830520367)","('romantic <= 0.00', -0.06247971228035279)","('famsup <= 0.00', -0.06057054995573271)","('Medu <= 2.00', 0.05973868339321866)","('freetime <= 3.00', 0.05424974867805339)","('0.00 < activities <= 1.00', -0.05323875496137613)","('1.00 < studytime <= 2.00', 0.05079475724514925)","('0.00 < famsize <= 1.00', -0.046826301385340094)"
"('Dalc <= 1.00', 0.23009854219953718)","('studytime <= 1.00', -0.14082043673408898)","('4.00 < famrel <= 5.00', -0.09168663483440503)","('Mjob <= 1.00', 0.09086982348332966)","('2.00 < Medu <= 4.00', -0.07355790296441825)","('famsup <= 0.00', -0.07261401199949458)","('4.00 < health <= 5.00', -0.06751670858630462)","('romantic <= 0.00', -0.06409485587484993)","('freetime <= 3.00', 0.06295120795538676)","('G2 > 13.00', 0.05663135477146866)"
"('Dalc <= 1.00', 0.22051309932927213)","('2.00 < Walc <= 3.00', -0.15550427546445345)","('health <= 2.00', 0.08944786686137284)","('0.00 < famsup <= 1.00', 0.0765757876479168)","('famrel <= 4.00', 0.07441519947598578)","('G2 > 13.00', 0.06912555803304266)","('2.00 < Medu <= 4.00', -0.06483396535438182)","('2.00 < Mjob <= 3.00', -0.054385571951918614)","('goout <= 2.00', -0.0533949038687933)","('0.00 < romantic <= 1.00', 0.05122634257747398)"
"('Walc <= 1.00', 0.36771323240827947)","('Dalc <= 1.00', 0.23051811245353415)","('studytime > 2.00', 0.11643943270605817)","('Mjob <= 1.00', 0.09061097893867927)","('famrel <= 4.00', 0.07978353813946602)","('4.00 < health <= 5.00', -0.07791571808729718)","('age > 18.00', 0.06952497242607547)","('G2 <= 10.00', -0.06915772352387352)","('Medu <= 2.00', 0.06612752842207005)","('famsup <= 0.00', -0.06281919819840777)"
"('Walc <= 1.00', 0.3814563263665325)","('Dalc <= 1.00', 0.23044297176132944)","('4.00 < famrel <= 5.00', -0.08235762116600219)","('4.00 < health <= 5.00', -0.07636390797866863)","('G2 <= 10.00', -0.07484053175610403)","('0.00 < famsup <= 1.00', 0.06933575618045873)","('0.00 < romantic <= 1.00', 0.05824339651220112)","('2.00 < Medu <= 4.00', -0.058163795473097746)","('0.00 < activities <= 1.00', -0.05803849234637298)","('1.00 < studytime <= 2.00', 0.05071803707406219)"
"('Walc > 3.00', -0.37651256003615613)","('studytime <= 1.00', -0.13355818667174307)","('1.00 < Dalc <= 2.00', -0.11036163054284417)","('G2 <= 10.00', -0.07591693077902445)","('famrel <= 4.00', 0.0731130835990902)","('Medu <= 2.00', 0.06744358207120218)","('famsup <= 0.00', -0.061407277467814776)","('0.00 < romantic <= 1.00', 0.057968731222220404)","('freetime <= 3.00', 0.056722334703728644)","('goout > 4.00', 0.055141793780604895)"
"('Walc > 3.00', -0.36799277873640784)","('Dalc > 2.00', -0.2684718731250238)","('studytime <= 1.00', -0.13331601852441005)","('G2 <= 10.00', -0.08225175531615625)","('4.00 < health <= 5.00', -0.07592944913385319)","('famsup <= 0.00', -0.07479001673657375)","('famrel <= 4.00', 0.07438684798103788)","('Medu <= 2.00', 0.06206038637354227)","('romantic <= 0.00', -0.05758064869490916)","('0.00 < activities <= 1.00', -0.05135189915438156)"
"('Dalc <= 1.00', 0.22882613382625785)","('health <= 2.00', 0.09389725783256497)","('4.00 < famrel <= 5.00', -0.08834365874904358)","('Mjob > 3.00', -0.0847909323069049)","('G2 > 13.00', 0.07904277078852213)","('0.00 < famsup <= 1.00', 0.06848292101982141)","('age <= 16.00', -0.055322385906793274)","('0.00 < activities <= 1.00', -0.05393557004166257)","('2.00 < Medu <= 4.00', -0.053569926671511316)","('romantic <= 0.00', -0.052702777827011375)"
"('1.00 < Dalc <= 2.00', -0.11356544100805863)","('health <= 2.00', 0.0990597349547183)","('famrel <= 4.00', 0.0811921666346999)","('G2 > 13.00', 0.07860702668892408)","('2.00 < Mjob <= 3.00', -0.06558511824924833)","('Medu <= 2.00', 0.06066291347892566)","('0.00 < famsup <= 1.00', 0.05758098263318952)","('0.00 < activities <= 1.00', -0.05750098422026993)","('0.00 < romantic <= 1.00', 0.05208804174236438)","('freetime <= 3.00', 0.04808786252165171)"
"('Walc <= 1.00', 0.37454389483616435)","('Dalc <= 1.00', 0.23088428129668553)","('famrel <= 4.00', 0.08065424040356522)","('0.00 < famsup <= 1.00', 0.06881771857167683)","('age <= 16.00', -0.06426196666129538)","('2.00 < Medu <= 4.00', -0.06019634444224751)","('0.00 < activities <= 1.00', -0.0582131689528451)","('2.00 < Mjob <= 3.00', -0.052670886244384374)","('3.00 < freetime <= 4.00', -0.049855795729477605)","('romantic <= 0.00', -0.04662762946280691)"
"('Dalc <= 1.00', 0.21886711200648948)","('studytime <= 1.00', -0.13258909652745948)","('G2 > 13.00', 0.08499014747592629)","('famrel <= 4.00', 0.08276700791134442)","('0.00 < famsup <= 1.00', 0.07595515847391382)","('4.00 < health <= 5.00', -0.07482463944250833)","('Medu <= 2.00', 0.07250333029316221)","('goout > 4.00', 0.06188859406322077)","('0.00 < activities <= 1.00', -0.05651917004949471)","('failures <= 0.00', 0.05564377555724952)"
"('Walc <= 1.00', 0.3724542931313291)","('Dalc <= 1.00', 0.22121675727731993)","('studytime > 2.00', 0.10379612634132376)","('4.00 < health <= 5.00', -0.07788172175936739)","('0.00 < famsup <= 1.00', 0.06673901632382902)","('4.00 < famrel <= 5.00', -0.06557330555586403)","('romantic <= 0.00', -0.06524414605961473)","('age <= 16.00', -0.06041921911272698)","('0.00 < activities <= 1.00', -0.054163450931323444)","('Medu <= 2.00', 0.05355468552919981)"
"('Walc <= 1.00', 0.37589659867227554)","('Dalc <= 1.00', 0.2205601805562616)","('studytime <= 1.00', -0.127816500115095)","('Mjob <= 1.00', 0.09369301600348656)","('health <= 2.00', 0.08107391606041317)","('famrel <= 4.00', 0.08008573134011822)","('age <= 16.00', -0.06824756291620687)","('0.00 < famsup <= 1.00', 0.06642809643034885)","('Medu <= 2.00', 0.06450994773767446)","('romantic <= 0.00', -0.05685922379035915)"
"('Walc <= 1.00', 0.37142178189124364)","('Dalc <= 1.00', 0.22096796826552717)","('health <= 2.00', 0.08164627725889538)","('famrel <= 4.00', 0.0799530411180428)","('famsup <= 0.00', -0.07055776799131735)","('age <= 16.00', -0.0618380314767423)","('Medu <= 2.00', 0.06119857255926287)","('freetime <= 3.00', 0.059870893370994674)","('2.00 < Mjob <= 3.00', -0.05383452544443825)","('1.00 < studytime <= 2.00', 0.05001367139945243)"
"('Walc <= 1.00', 0.3680153092162092)","('Dalc <= 1.00', 0.22228232215539995)","('studytime > 2.00', 0.11706465426869418)","('famrel <= 4.00', 0.0804300845235523)","('health <= 2.00', 0.07917811457539121)","('G2 > 13.00', 0.0698851008729814)","('Medu <= 2.00', 0.06794652158275243)","('0.00 < famsup <= 1.00', 0.06348941804886862)","('freetime <= 3.00', 0.062111344533244815)","('0.00 < romantic <= 1.00', 0.059352010344350226)"
"('Walc <= 1.00', 0.3688788550260826)","('Dalc <= 1.00', 0.22887280605245758)","('famrel <= 4.00', 0.0744639859355632)","('famsup <= 0.00', -0.06787632213110982)","('Medu <= 2.00', 0.06567791097946891)","('age <= 16.00', -0.06339059319226466)","('romantic <= 0.00', -0.05617396168635838)","('activities <= 0.00', 0.053191629951158774)","('failures <= 0.00', 0.049490954867264444)","('1.00 < studytime <= 2.00', 0.047612164786272344)"
"('Dalc <= 1.00', 0.21815365453349084)","('studytime <= 1.00', -0.12808427756720328)","('famrel <= 4.00', 0.07886187070522273)","('famsup <= 0.00', -0.07516734805526952)","('Medu <= 2.00', 0.06898333767332283)","('0.00 < romantic <= 1.00', 0.05494602074041605)","('goout <= 2.00', -0.05349259774661445)","('freetime <= 3.00', 0.05276366055589543)","('activities <= 0.00', 0.04683126070397714)","('0.00 < famsize <= 1.00', -0.04489794609096621)"
"('Walc > 3.00', -0.36710985177243877)","('Dalc > 2.00', -0.27579196937335587)","('studytime <= 1.00', -0.14420429599537316)","('Mjob <= 1.00', 0.08454385603505235)","('age > 18.00', 0.08409192328684696)","('famrel <= 4.00', 0.08389881190348128)","('famsup <= 0.00', -0.0733358307927616)","('4.00 < health <= 5.00', -0.07322932610840005)","('Medu <= 2.00', 0.06684868614909838)","('activities <= 0.00', 0.05427753393641493)"
"('Dalc <= 1.00', 0.2218041657375243)","('4.00 < famrel <= 5.00', -0.09115808193594692)","('health <= 2.00', 0.08448893188686749)","('famsup <= 0.00', -0.07327431031716104)","('Medu <= 2.00', 0.0687435497664277)","('0.00 < romantic <= 1.00', 0.05379123364926884)","('failures <= 0.00', 0.05354157961800381)","('freetime <= 3.00', 0.051104672526396784)","('2.00 < Mjob <= 3.00', -0.045907028561127834)","('1.00 < studytime <= 2.00', 0.044298012677821644)"
"('Dalc <= 1.00', 0.22795767851858464)","('2.00 < Walc <= 3.00', -0.1588686433301933)","('famrel <= 4.00', 0.08454205211023884)","('G2 > 13.00', 0.07665739611022261)","('0.00 < famsup <= 1.00', 0.06484549435507411)","('romantic <= 0.00', -0.05791599663261538)","('Medu <= 2.00', 0.05698824817771806)","('freetime <= 3.00', 0.056858953846563275)","('activities <= 0.00', 0.05420747742194536)","('school <= 0.00', -0.05311919039827411)"
"('Walc > 3.00', -0.3674927369100504)","('studytime <= 1.00', -0.12513920810302967)","('1.00 < Dalc <= 2.00', -0.11060805096211085)","('4.00 < famrel <= 5.00', -0.0823374530793256)","('Medu <= 2.00', 0.07748987748151867)","('0.00 < famsup <= 1.00', 0.06877600200616636)","('G2 <= 10.00', -0.06634676445586235)","('age <= 16.00', -0.061906942408786914)","('2.00 < Mjob <= 3.00', -0.06099824894426225)","('0.00 < romantic <= 1.00', 0.05336675975981488)"
"('Dalc > 2.00', -0.28874828805795094)","('2.00 < Walc <= 3.00', -0.17090008887277108)","('age > 18.00', 0.09505979313093407)","('famrel <= 4.00', 0.0787106402158664)","('4.00 < health <= 5.00', -0.07307635555824596)","('0.00 < famsup <= 1.00', 0.0698732291741015)","('freetime <= 3.00', 0.06410250154786762)","('2.00 < Medu <= 4.00', -0.06236321681444055)","('romantic <= 0.00', -0.05871235961772726)","('0.00 < activities <= 1.00', -0.055582335392237045)"
"('1.00 < Dalc <= 2.00', -0.11969527052911771)","('studytime <= 1.00', -0.11500174009009247)","('Mjob > 3.00', -0.08957179929415088)","('famrel <= 4.00', 0.08294106241239504)","('G2 > 13.00', 0.08176636693357131)","('health <= 2.00', 0.06868962313591127)","('0.00 < famsup <= 1.00', 0.06602400138713559)","('2.00 < Medu <= 4.00', -0.06559831799777925)","('0.00 < romantic <= 1.00', 0.05378437041022656)","('activities <= 0.00', 0.05018520054411962)"
"('Dalc <= 1.00', 0.223949518734382)","('health <= 2.00', 0.08662796741876584)","('Mjob <= 1.00', 0.08380726071579772)","('age <= 16.00', -0.07128624171690146)","('famrel <= 4.00', 0.0711263336793957)","('0.00 < famsup <= 1.00', 0.06541252546433964)","('activities <= 0.00', 0.05866240810412446)","('0.00 < famsize <= 1.00', -0.05860106955831756)","('romantic <= 0.00', -0.057562292482228994)","('freetime <= 3.00', 0.05291341156138716)"
"('Dalc <= 1.00', 0.2302326887251125)","('studytime <= 1.00', -0.13276982520241468)","('Mjob > 3.00', -0.10206849021184715)","('4.00 < health <= 5.00', -0.07545414438773018)","('famrel <= 4.00', 0.07469478309787363)","('2.00 < Medu <= 4.00', -0.06437055206884897)","('G2 <= 10.00', -0.06239457682769724)","('0.00 < activities <= 1.00', -0.05944241627475074)","('goout <= 2.00', -0.059101200025470334)","('0.00 < famsup <= 1.00', 0.057213411367962805)"
"('Dalc <= 1.00', 0.22962338089131332)","('2.00 < Walc <= 3.00', -0.15811132364888034)","('studytime > 2.00', 0.11709706109738793)","('famrel <= 4.00', 0.07860235367311476)","('G2 > 13.00', 0.07794103647193064)","('4.00 < health <= 5.00', -0.07455912316379681)","('famsup <= 0.00', -0.07349610197173642)","('Mjob <= 1.00', 0.0669151399812261)","('Medu <= 2.00', 0.06214123443998094)","('0.00 < activities <= 1.00', -0.06172824921643709)"
"('Walc > 3.00', -0.3583975248609086)","('Dalc <= 1.00', 0.22535096941399368)","('studytime > 2.00', 0.10772076864765236)","('4.00 < famrel <= 5.00', -0.07629108676127153)","('famsup <= 0.00', -0.06492045189082685)","('goout > 4.00', 0.06205492728935174)","('2.00 < Mjob <= 3.00', -0.060710288472956675)","('Medu <= 2.00', 0.05768339812797053)","('0.00 < romantic <= 1.00', 0.053951943652052206)","('3.00 < freetime <= 4.00', -0.04768886355614471)"
"('Walc <= 1.00', 0.3751177357096165)","('Dalc <= 1.00', 0.22390664989239586)","('studytime > 2.00', 0.10693811708791982)","('Mjob <= 1.00', 0.08303386926318694)","('G2 > 13.00', 0.07931136560248217)","('4.00 < famrel <= 5.00', -0.07738979942157997)","('0.00 < famsup <= 1.00', 0.06414242261650688)","('0.00 < romantic <= 1.00', 0.05964667932445522)","('age <= 16.00', -0.05890362337563906)","('2.00 < Medu <= 4.00', -0.058695495922598095)"
"('Walc <= 1.00', 0.3660639366478403)","('Dalc <= 1.00', 0.22874052558860586)","('studytime <= 1.00', -0.1334448410409984)","('health <= 2.00', 0.0858724601126195)","('4.00 < famrel <= 5.00', -0.08027070519426384)","('G2 <= 10.00', -0.07293784520657057)","('age <= 16.00', -0.06943723531498838)","('freetime > 4.00', -0.06669479947504052)","('famsup <= 0.00', -0.06326252542026678)","('Medu <= 2.00', 0.06279230465893972)"
"('Walc > 3.00', -0.36304266346315595)","('studytime <= 1.00', -0.1241443029404282)","('1.00 < Dalc <= 2.00', -0.11989889280570881)","('Mjob > 3.00', -0.10677539326467515)","('4.00 < famrel <= 5.00', -0.0847781530016952)","('4.00 < health <= 5.00', -0.0739667868792554)","('0.00 < famsup <= 1.00', 0.07378238378825137)","('2.00 < Medu <= 4.00', -0.06731075623672256)","('age <= 16.00', -0.06331633357573965)","('0.00 < romantic <= 1.00', 0.06067144971210822)"
"('Dalc <= 1.00', 0.2280907032950513)","('studytime > 2.00', 0.10924347721994328)","('Mjob <= 1.00', 0.08594738249927687)","('4.00 < famrel <= 5.00', -0.08337241598344845)","('G2 > 13.00', 0.08060247100257438)","('4.00 < health <= 5.00', -0.06966116185317398)","('0.00 < famsup <= 1.00', 0.06926282601889706)","('2.00 < Medu <= 4.00', -0.06258804531094403)","('freetime <= 3.00', 0.04630450186920422)","('goout <= 2.00', -0.04619359388778071)"
"('Walc > 3.00', -0.37376203935245683)","('Dalc > 2.00', -0.27654440042997236)","('studytime <= 1.00', -0.12986564590282793)","('4.00 < famrel <= 5.00', -0.07397177984476691)","('G2 <= 10.00', -0.06996743507663236)","('Medu <= 2.00', 0.06989426771584442)","('famsup <= 0.00', -0.06752121674757806)","('0.00 < romantic <= 1.00', 0.05558849651941445)","('failures <= 0.00', 0.05454080664639472)","('0.00 < activities <= 1.00', -0.0539898129431908)"
"('Walc <= 1.00', 0.3682695057768815)","('Dalc <= 1.00', 0.23176477956865227)","('health <= 2.00', 0.08665721931618244)","('famrel <= 4.00', 0.08182393495034072)","('G2 > 13.00', 0.06858648395998165)","('2.00 < Medu <= 4.00', -0.06671162947360405)","('0.00 < famsup <= 1.00', 0.061860299338738774)","('age <= 16.00', -0.0589139975861167)","('romantic <= 0.00', -0.0586792863177462)","('freetime <= 3.00', 0.055237151964232935)"
"('Walc <= 1.00', 0.3729741542503508)","('Dalc <= 1.00', 0.2201189214465673)","('Mjob > 3.00', -0.09129412065136534)","('health <= 2.00', 0.08124043522353852)","('famrel <= 4.00', 0.07987533651923756)","('0.00 < famsup <= 1.00', 0.06905380999325347)","('G2 > 13.00', 0.06880016347046014)","('2.00 < Medu <= 4.00', -0.06114754741793726)","('romantic <= 0.00', -0.06036607029833283)","('17.00 < age <= 18.00', 0.056484081162934206)"
"('Walc <= 1.00', 0.3702802606673242)","('Dalc <= 1.00', 0.22669085491634358)","('studytime <= 1.00', -0.1296805730785883)","('Mjob <= 1.00', 0.09211908468014349)","('4.00 < famrel <= 5.00', -0.08463694759779576)","('G2 <= 10.00', -0.07332456650559034)","('famsup <= 0.00', -0.06813777947541957)","('freetime > 4.00', -0.062206875850660565)","('Medu <= 2.00', 0.059308919925010604)","('failures <= 0.00', 0.05251998099583832)"
"('2.00 < Walc <= 3.00', -0.15922559082656823)","('1.00 < Dalc <= 2.00', -0.12221636653139997)","('Mjob > 3.00', -0.09695091556441499)","('famrel <= 4.00', 0.07012167098533832)","('2.00 < Medu <= 4.00', -0.06855299703023805)","('activities <= 0.00', 0.05360395938435518)","('romantic <= 0.00', -0.0535824915555238)","('1.00 < studytime <= 2.00', 0.05314905336567817)","('0.00 < famsup <= 1.00', 0.05139800200421461)","('schoolsup <= 0.00', -0.043863421669980335)"
"('Walc <= 1.00', 0.3717247055756639)","('Dalc <= 1.00', 0.2274885484874512)","('studytime <= 1.00', -0.13409750852004113)","('famrel <= 4.00', 0.08410206674993265)","('4.00 < health <= 5.00', -0.07560340190907183)","('age <= 16.00', -0.07205605015279304)","('G2 <= 10.00', -0.07050362814850408)","('freetime <= 3.00', 0.06177152633642904)","('0.00 < famsup <= 1.00', 0.061742965450044554)","('0.00 < romantic <= 1.00', 0.059324323170326744)"
"('Walc > 3.00', -0.3704050904380337)","('studytime <= 1.00', -0.13278258120420294)","('1.00 < Dalc <= 2.00', -0.12269099997684621)","('Mjob > 3.00', -0.08327186792203853)","('0.00 < famsup <= 1.00', 0.08289381189894436)","('4.00 < health <= 5.00', -0.07664961889377704)","('famrel <= 4.00', 0.07325994351702611)","('2.00 < Medu <= 4.00', -0.06592377339923956)","('age <= 16.00', -0.06108535926927895)","('activities <= 0.00', 0.058422358475208096)"
"('Walc > 3.00', -0.3694269707803845)","('Dalc > 2.00', -0.2832763783690438)","('studytime > 2.00', 0.10829174579841641)","('famrel <= 4.00', 0.08714415366439471)","('health <= 2.00', 0.08154420830009547)","('G2 <= 10.00', -0.07659715746868132)","('0.00 < famsup <= 1.00', 0.0699402097603824)","('age <= 16.00', -0.06859424748223542)","('0.00 < romantic <= 1.00', 0.05808446363978193)","('2.00 < Medu <= 4.00', -0.05097837536648954)"
"('Walc <= 1.00', 0.36365262384490626)","('Dalc <= 1.00', 0.22595010158983278)","('studytime > 2.00', 0.1128118427713901)","('famrel <= 4.00', 0.0873765797822337)","('4.00 < health <= 5.00', -0.07430612322843992)","('Medu <= 2.00', 0.07285276836314532)","('0.00 < famsup <= 1.00', 0.07235925473521006)","('romantic <= 0.00', -0.05722528554395886)","('age <= 16.00', -0.05599237589560249)","('freetime <= 3.00', 0.05463418507680882)"
"('Walc > 3.00', -0.3732504292806818)","('Dalc <= 1.00', 0.24003000010958953)","('4.00 < famrel <= 5.00', -0.07880525880622052)","('0.00 < famsup <= 1.00', 0.0740530498696125)","('4.00 < health <= 5.00', -0.07317880157770143)","('Medu <= 2.00', 0.06797274357897984)","('0.00 < activities <= 1.00', -0.06202735398682158)","('1.00 < studytime <= 2.00', 0.05900995725549967)","('freetime <= 3.00', 0.05460105743554622)","('romantic <= 0.00', -0.05329426184922359)"
"('Dalc <= 1.00', 0.19731785009966335)","('studytime <= 1.00', -0.1214933207989399)","('Mjob <= 1.00', 0.09671333886499442)","('famrel <= 4.00', 0.08167530141912725)","('0.00 < famsup <= 1.00', 0.08073790483435792)","('age <= 16.00', -0.07520156029617964)","('Medu <= 2.00', 0.07095415757764519)","('0.00 < romantic <= 1.00', 0.06280843285648491)","('freetime <= 3.00', 0.05198600281631248)","('famsize <= 0.00', 0.044949350827264485)"
"('Walc <= 1.00', 0.3661494830961194)","('Dalc <= 1.00', 0.22972365746563037)","('famrel <= 4.00', 0.08233748284798131)","('4.00 < health <= 5.00', -0.0769892659484086)","('G2 <= 10.00', -0.06760012738611337)","('famsup <= 0.00', -0.06620868187636163)","('2.00 < Medu <= 4.00', -0.06389941087322541)","('0.00 < romantic <= 1.00', 0.057950646474096236)","('freetime <= 3.00', 0.05467297190919275)","('activities <= 0.00', 0.05151875510291633)"
"('studytime <= 1.00', -0.1285415680435089)","('1.00 < Dalc <= 2.00', -0.12022649028234028)","('Mjob <= 1.00', 0.08957825170470998)","('health <= 2.00', 0.08536032713533663)","('famrel <= 4.00', 0.0761501551113577)","('activities <= 0.00', 0.06377757917261954)","('freetime <= 3.00', 0.06332494711758357)","('famsup <= 0.00', -0.05877888653942779)","('2.00 < Medu <= 4.00', -0.058045468255154276)","('0.00 < romantic <= 1.00', 0.05545140221384744)"
"('Walc <= 1.00', 0.37505400975707254)","('Dalc <= 1.00', 0.23026087903326037)","('famrel <= 4.00', 0.08146604444578362)","('4.00 < health <= 5.00', -0.07199428693479404)","('2.00 < Medu <= 4.00', -0.07001939635963)","('0.00 < famsup <= 1.00', 0.06611521507877018)","('2.00 < Mjob <= 3.00', -0.0550320758758815)","('activities <= 0.00', 0.05279064592926758)","('romantic <= 0.00', -0.051600005247041045)","('age <= 16.00', -0.051266542946178974)"
"('Walc <= 1.00', 0.3711964761893134)","('Dalc <= 1.00', 0.22768025871257852)","('studytime <= 1.00', -0.1351307374964518)","('famrel <= 4.00', 0.07942958397084128)","('4.00 < health <= 5.00', -0.07480373988006721)","('0.00 < famsup <= 1.00', 0.06990441508240644)","('freetime > 4.00', -0.06699538313892821)","('G2 <= 10.00', -0.06690451628410436)","('Medu <= 2.00', 0.06074444812859328)","('romantic <= 0.00', -0.057964641438850655)"
"('Walc <= 1.00', 0.3743127665185167)","('Dalc <= 1.00', 0.22717937790064396)","('studytime <= 1.00', -0.13578769910614447)","('famrel <= 4.00', 0.07971887011242625)","('2.00 < Medu <= 4.00', -0.07049829677570897)","('0.00 < famsup <= 1.00', 0.06997097178037263)","('0.00 < romantic <= 1.00', 0.057198537070438454)","('activities <= 0.00', 0.05482121713171025)","('freetime <= 3.00', 0.0531135093844748)","('goout <= 2.00', -0.050398118904098586)"
"('Dalc <= 1.00', 0.222686486363072)","('2.00 < Walc <= 3.00', -0.17643606300236528)","('studytime > 2.00', 0.10320521069366817)","('4.00 < famrel <= 5.00', -0.0887929537775787)","('famsup <= 0.00', -0.07522357824752139)","('Medu <= 2.00', 0.06718189724680543)","('age <= 16.00', -0.06646083737965493)","('freetime <= 3.00', 0.057921093876561906)","('0.00 < romantic <= 1.00', 0.05114080008863536)","('famsize <= 0.00', 0.04605498921851723)"
"('Walc <= 1.00', 0.36992590062759945)","('Dalc <= 1.00', 0.22426100725479658)","('Mjob > 3.00', -0.09557119047911113)","('health <= 2.00', 0.08769733237590721)","('4.00 < famrel <= 5.00', -0.07601663355057364)","('G2 <= 10.00', -0.07307403664046556)","('famsup <= 0.00', -0.06524197767915133)","('2.00 < Medu <= 4.00', -0.0623219074324362)","('romantic <= 0.00', -0.05970937305472207)","('activities <= 0.00', 0.05840651934566093)"
